transaction_id,amount,failure_reason,ai_action,approved_action,confidence,reason,result,recovered_amount
TXN0001,4999,insufficient_funds,REVIEW,REVIEW,1.0,"AI was unavailable, so the payment was sent for manual review instead of taking an automatic AI-driven action.",MANUAL_REVIEW,0
TXN0002,799,bank_error,REVIEW,REVIEW,1.0,"AI was unavailable, so the payment was sent for manual review instead of taking an automatic AI-driven action.",MANUAL_REVIEW,0
TXN0003,12999,insufficient_funds,STOP_AND_ESCALATE,STOP_AND_ESCALATE,1.0,The payment has already reached the maximum retry limit.,ESCALATED,0
TXN0004,4999,insufficient_funds,REVIEW,REVIEW,1.0,"AI was unavailable, so the payment was sent for manual review instead of taking an automatic AI-driven action.",MANUAL_REVIEW,0
TXN0005,499,insufficient_funds,REVIEW,REVIEW,1.0,"AI was unavailable, so the payment was sent for manual review instead of taking an automatic AI-driven action.",MANUAL_REVIEW,0
TXN0006,24999,insufficient_funds,REVIEW,REVIEW,1.0,"AI was unavailable, so the payment was sent for manual review instead of taking an automatic AI-driven action.",MANUAL_REVIEW,0
TXN0007,2499,timeout,REVIEW,REVIEW,1.0,"AI was unavailable, so the payment was sent for manual review instead of taking an automatic AI-driven action.",MANUAL_REVIEW,0
TXN0008,5999,bank_error,REVIEW,REVIEW,1.0,"AI was unavailable, so the payment was sent for manual review instead of taking an automatic AI-driven action.",MANUAL_REVIEW,0
TXN0009,24999,timeout,REVIEW,REVIEW,1.0,"AI was unavailable, so the payment was sent for manual review instead of taking an automatic AI-driven action.",MANUAL_REVIEW,0
TXN0010,12999,insufficient_funds,STOP_AND_ESCALATE,STOP_AND_ESCALATE,1.0,The payment has already reached the maximum retry limit.,ESCALATED,0
TXN0011,2499,bank_error,REVIEW,REVIEW,1.0,"AI was unavailable, so the payment was sent for manual review instead of taking an automatic AI-driven action.",MANUAL_REVIEW,0
TXN0012,2499,timeout,REVIEW,REVIEW,1.0,"AI was unavailable, so the payment was sent for manual review instead of taking an automatic AI-driven action.",MANUAL_REVIEW,0
TXN0013,24999,insufficient_funds,REVIEW,REVIEW,1.0,"AI was unavailable, so the payment was sent for manual review instead of taking an automatic AI-driven action.",MANUAL_REVIEW,0
