transaction_id,customer_id,amount,payment_method,failure_reason,previous_failures,previous_successes,retry_count,customer_status
TXN0001,CUST0077,4999,netbanking,insufficient_funds,3,4,2,active
TXN0002,CUST0054,799,upi,bank_error,3,11,0,active
TXN0003,CUST0076,12999,netbanking,insufficient_funds,0,2,3,active
TXN0004,CUST0081,4999,upi,insufficient_funds,1,0,2,active
TXN0005,CUST0207,499,upi,insufficient_funds,1,4,1,active
TXN0006,CUST0062,24999,upi,insufficient_funds,4,0,1,active
TXN0007,CUST0044,2499,upi,timeout,3,1,2,active
TXN0008,CUST0191,5999,upi,bank_error,3,10,1,active
TXN0009,CUST0195,24999,card,timeout,3,8,2,active
TXN0010,CUST0177,12999,upi,insufficient_funds,0,11,3,active
TXN0011,CUST0161,2499,netbanking,bank_error,2,4,1,active
TXN0012,CUST0276,2499,netbanking,timeout,1,4,2,active
TXN0013,CUST0004,24999,upi,insufficient_funds,1,8,1,active
TXN0014,CUST0020,2499,netbanking,insufficient_funds,3,11,0,active
TXN0015,CUST0137,8999,netbanking,insufficient_funds,0,11,2,active
TXN0016,CUST0157,2499,upi,insufficient_funds,1,10,3,active
TXN0017,CUST0104,12999,upi,timeout,2,6,1,active
TXN0018,CUST0008,2499,netbanking,insufficient_funds,0,11,3,active
TXN0019,CUST0246,1299,card,timeout,1,8,2,active
TXN0020,CUST0251,8999,upi,bank_error,2,0,2,active
TXN0021,CUST0046,5999,upi,timeout,0,0,3,active
TXN0022,CUST0091,5999,card,insufficient_funds,4,5,3,active
TXN0023,CUST0059,499,upi,bank_error,0,11,3,active
TXN0024,CUST0210,24999,upi,bank_error,3,6,3,active
TXN0025,CUST0035,499,card,expired_card,0,6,0,active
TXN0026,CUST0119,1299,card,timeout,3,0,0,inactive
TXN0027,CUST0033,499,upi,timeout,0,9,3,active
TXN0028,CUST0177,24999,card,expired_card,3,3,2,active
TXN0029,CUST0075,24999,upi,bank_error,0,1,0,inactive
TXN0030,CUST0212,1299,upi,bank_error,2,8,0,active
TXN0031,CUST0163,1299,netbanking,bank_error,4,2,0,active
TXN0032,CUST0130,3499,netbanking,timeout,3,3,0,active
TXN0033,CUST0024,499,upi,bank_error,4,3,0,active
TXN0034,CUST0226,3499,card,insufficient_funds,2,4,1,active
TXN0035,CUST0134,5999,netbanking,bank_error,4,6,3,active
TXN0036,CUST0243,8999,card,timeout,4,7,0,active
TXN0037,CUST0272,8999,netbanking,insufficient_funds,4,6,2,active
TXN0038,CUST0240,3499,upi,insufficient_funds,0,8,2,inactive
TXN0039,CUST0171,8999,netbanking,bank_error,1,2,2,active
TXN0040,CUST0190,24999,card,timeout,1,11,2,active
TXN0041,CUST0075,4999,netbanking,insufficient_funds,1,8,1,active
TXN0042,CUST0107,4999,card,timeout,2,7,0,active
TXN0043,CUST0094,4999,netbanking,timeout,2,12,2,active
TXN0044,CUST0178,12999,card,timeout,2,8,2,inactive
TXN0045,CUST0132,3499,card,expired_card,3,6,2,active
TXN0046,CUST0031,4999,netbanking,insufficient_funds,1,9,3,active
TXN0047,CUST0128,3499,upi,insufficient_funds,0,10,1,active
TXN0048,CUST0292,4999,upi,timeout,0,12,0,active
TXN0049,CUST0296,499,card,bank_error,3,3,1,active
